fid_1,bezeichnun,gis_id,elem_nr,datum,bildpfad,pgr_m,pgr_a,zw_pgr_m,zw_pgr_a,aun,twgeb,twrio,twsub,gw,kreuz,spt,ris,efli,afli,obs,ausbr,onf,zw_spt,zw_aun,zw_ris,zw_efli,zw_afli,zw_obs,lqrl,lqrp,eksl,eksp,btef,btep,sff,zw_btef,zw_btep,zw_lqrl,zw_lqrp,zw_eksl,zw_eksp,vnk,nnk,lage,fs,vst,bst,od_fs,zk,material,bauw,ausb
1936,Fahrbahn,Fl_20150413_1936,45510028_45520013.01,2015/4/13,Los1\Bilddaten\28059\6.jpg,15.12,3.657596899,4.28,4.66,0,4.66,3.16,3.54,4.66,U,13.40123658,1,30,0,5,0,0,3.21,0,1.5,3.83,1,1.83,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
1928,Fahrbahn,Fl_20150413_1928,45510028_45520013.01,2015/4/13,Los1\Bilddaten\28059\61.jpg,7.62,2.171545455,2.41,3.06,0,3.71,1,1.68,3.71,Ku,17.10830552,0,0,0,0,0,0,3.71,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
1944,Fahrbahn,Fl_20150413_1944,45510008_45510028.02,2015/4/13,Los1\Bilddaten\28060\3.jpg,12.75,4.104296875,3.69,5,0,5,2.16,2.87,5,U,15.42083268,0,15,0,0,0,0,3.54,0,1,2.67,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
1939,Fahrbahn,Fl_20150413_1939,45510008_45510028.02,2015/4/13,Los1\Bilddaten\28060\30.jpg,5.12,1.840666667,1.78,2.62,0,3.75,1.99,2.43,3.75,Ku,17.49076731,1,5,0,0,0,0,3.75,0,1.5,1.83,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
1938,Fahrbahn,Fl_20150413_1938,45510008_45510028.02,2015/4/13,Los1\Bilddaten\28060\35.jpg,8.88,2.010153846,2.72,2.85,0,3.5,2.44,2.7,3.5,Ku,15.04648264,1,15,0,0,0,0,3.5,0,1.5,2.67,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
1953,Fahrbahn,Fl_20150413_1953,45510035_45510008.02,2015/4/13,Los1\Bilddaten\28061\17.jpg,7.49,2.095,2.37,2.96,0,3.45,1,1.61,3.45,Lu,14.71460617,0,0,0,0,0,0,3.45,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
1952,Fahrbahn,Fl_20150413_1952,45510035_45510008.02,2015/4/13,Los1\Bilddaten\28061\22.jpg,6.92,2.052765957,2.23,2.9,0,3.18,1,1.55,3.18,Lu,13.26540405,0,0,0,0,0,0,3.18,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
1949,Fahrbahn,Fl_20150413_1949,45510035_45510008.02,2015/4/13,Los1\Bilddaten\28061\36.jpg,0.61,0.351111111,1.08,1.18,0,3.23,1,1.56,3.23,Lu,13.50706864,0,0,0,0,0,0,3.23,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
1948,Fahrbahn,Fl_20150413_1948,45510035_45510008.02,2015/4/13,Los1\Bilddaten\28061\40.jpg,4.05,1.639722222,1.51,2.35,0,3.02,1,1.51,3.02,Lu,12.37217476,0,0,0,0,0,0,3.02,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
1957,Fahrbahn,Fl_20150413_1957,45510018_45510035.02,2015/4/13,Los1\Bilddaten\28062\20.jpg,0.79,0.158,1.1,1.08,0,3.54,1,1.63,3.54,Ku,15.36721189,0,0,0,0,0,0,3.54,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
1964,Fahrbahn,Fl_20150413_1964,45510034_45510018.02,2015/4/13,Los1\Bilddaten\28063\17.jpg,0.43,0.116875,1.05,1.06,0,3.37,1,1.59,3.37,Lu,14.27492252,0,0,0,0,0,0,3.37,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
1962,Fahrbahn,Fl_20150413_1962,45510034_45510018.02,2015/4/13,Los1\Bilddaten\28063\26.jpg,0.62,0.387,1.08,1.19,0,3.73,1,1.68,3.73,Ku,17.25216197,0,0,0,0,0,0,3.73,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
1960,Fahrbahn,Fl_20150413_1960,45510034_45510018.02,2015/4/13,Los1\Bilddaten\28063\35.jpg,1.46,0.520952381,1.18,1.26,0,3.9,1.61,2.18,3.9,Ku,19.00618156,1,0,0,0,0,0,3.9,0,1.5,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
1971,Fahrbahn,Fl_20150413_1971,45510017_45510034.02,2015/4/13,Los1\Bilddaten\28064\10.jpg,19.78,2.466451613,5,3.46,0,5,1.61,2.46,5,U,17.50402185,1,0,0,0,0,0,3.75,0,1.5,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
1970,Fahrbahn,Fl_20150413_1970,45510017_45510034.02,2015/4/13,Los1\Bilddaten\28064\17.jpg,8.72,3.365675676,2.68,4.37,0,4.37,2.22,2.75,4.37,Ku,19.69592844,5,0,0,0,0,0,3.97,0,2.07,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,7,2,,
111,Fahrbahn,Fl_20150413_111,45510017_45510034.02,2015/4/13,Los1\Bilddaten\28065\19.jpg,4.16,3.17,1.54,4.17,0,4.17,2.85,3.18,4.17,Ku,15.03026843,10,0,0,0,0,0,3.5,0,2.79,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,7,2,,
112,Fahrbahn,Fl_20150413_112,45510017_45510034.02,2015/4/13,Los1\Bilddaten\28065\26.jpg,6.8,2.627142857,2.2,3.63,0,3.63,4.1,3.98,3.98,V,16.27580459,20,30,0,0,0,0,3.63,0,4,3.83,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
108,Fahrbahn,Fl_20150413_108,45510017_45510034.02,2015/4/13,Los1\Bilddaten\28065\3.jpg,15.56,3.976190476,4.39,4.98,0,4.98,3.01,3.5,4.98,U,14.72555096,10,1,1,1,0,0,3.45,0,2.79,1.5,1.5,1.5,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
